SITE CODE= 77029 ëÂç„ñkãÊíÉâÆí¨
 LAT.=   34.7054
 LON.=  135.5023
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2018 06 18 07 58 20
 NS,EW,UD
-0.018,0.056,-0.039
-0.019,0.016,0.005
-0.021,-0.024,0.044
-0.038,-0.052,0.047
0.016,-0.042,0.041
0.024,0.005,-0.006
-0.016,-0.004,-0.041
-0.009,-0.001,-0.002
-0.021,0.023,-0.003
-0.045,0.015,-0.049
-0.044,0.012,0.008
-0.021,0.006,0.063
0.030,-0.012,0.024
0.057,-0.028,0.016
0.055,-0.021,-0.031
0.025,-0.001,-0.107
-0.049,0.013,-0.051
-0.044,0.017,0.031
0.021,0.002,0.043
0.026,-0.021,0.011
0.001,-0.021,-0.063
0.008,0.005,-0.084
0.019,0.014,0.040
-0.024,-0.013,0.128
-0.035,-0.022,0.010
0.019,0.011,-0.104
0.018,0.028,-0.035
-0.021,-0.006,0.037
0.013,-0.011,0.031
0.036,0.037,0.059
-0.028,0.042,0.056
-0.014,0.004,-0.004
0.029,-0.008,-0.041
-0.015,0.001,-0.048
-0.033,-0.006,-0.004
0.002,-0.017,0.035
0.017,-0.006,0.033
-0.016,-0.005,0.002
0.012,0.010,-0.059
0.040,0.022,-0.044
-0.020,-0.002,0.003
0.000,0.008,0.039
0.022,0.009,0.062
-0.008,-0.021,0.007
-0.007,-0.033,-0.049
0.016,-0.045,-0.087
0.014,-0.058,-0.032
-0.057,-0.045,0.088
-0.033,-0.015,0.070
0.008,-0.015,-0.006
-0.015,-0.012,-0.025
0.035,0.005,-0.043
0.029,0.001,-0.036
-0.044,0.001,0.032
-0.045,0.005,0.038
0.026,0.028,0.027
0.046,0.048,0.035
0.011,0.027,-0.012
0.031,0.021,0.018
0.013,0.005,-0.007
-0.024,-0.017,-0.092
-0.019,0.007,-0.056
-0.013,0.017,-0.044
0.008,-0.003,-0.054
-0.001,-0.011,-0.034
-0.007,0.010,-0.007
0.025,0.022,-0.016
0.013,0.008,-0.079
0.004,0.014,-0.019
0.027,0.004,0.127
-0.045,-0.040,0.171
-0.088,-0.064,0.103
0.034,-0.033,0.068
0.051,-0.001,0.071
-0.040,-0.003,-0.040
0.010,0.026,-0.067
0.038,0.031,0.050
-0.013,-0.015,0.052
0.027,-0.032,0.002
0.063,-0.029,-0.032
0.023,-0.013,-0.053
-0.016,0.000,-0.024
0.005,0.003,-0.039
0.009,0.030,-0.057
-0.048,0.067,0.002
-0.045,0.060,0.058
0.007,-0.005,0.004
0.028,-0.035,-0.098
0.013,-0.012,-0.132
0.015,-0.020,-0.100
0.015,-0.003,0.007
-0.020,0.029,0.081
-0.014,-0.017,0.024
-0.020,-0.043,0.017
-0.046,-0.004,0.100
-0.017,-0.009,0.099
0.015,-0.017,0.042
0.008,-0.005,0.002
-0.005,-0.012,-0.044
0.001,-0.007,-0.036
-0.018,-0.009,-0.019
-0.045,0.000,-0.059
-0.011,0.018,-0.100
0.041,0.001,-0.067
0.023,-0.008,0.076
-0.004,-0.006,0.171
0.035,0.032,0.098
0.032,0.061,-0.039
-0.001,0.042,-0.064
0.017,0.045,-0.030
0.015,0.003,-0.023
-0.020,-0.058,0.060
-0.046,-0.039,0.093
-0.046,0.011,-0.028
-0.011,0.016,-0.136
0.034,0.011,-0.035
0.015,0.055,0.158
-0.069,0.049,0.085
-0.046,-0.013,-0.066
0.032,-0.013,-0.064
0.002,-0.017,-0.073
-0.014,-0.061,-0.035
0.040,-0.016,0.038
0.059,0.043,0.004
0.046,0.004,-0.008
0.026,-0.003,0.004
0.000,0.015,-0.058
-0.020,-0.010,-0.032
-0.028,-0.016,0.011
-0.014,0.000,0.010
0.012,0.022,0.069
-0.006,0.044,0.039
-0.028,0.034,-0.016
0.020,-0.011,-0.009
0.043,-0.033,0.030
-0.013,0.010,0.092
-0.028,0.049,0.018
0.002,0.011,-0.066
-0.020,-0.035,-0.008
-0.046,-0.029,0.039
-0.014,-0.042,0.049
0.005,-0.032,0.028
-0.010,0.020,-0.038
0.005,0.014,-0.052
0.023,-0.001,-0.051
0.002,-0.017,-0.064
0.005,-0.026,0.005
0.025,0.011,0.050
0.039,0.023,0.027
0.024,0.033,0.005
-0.016,0.034,-0.028
-0.015,-0.020,-0.032
-0.010,-0.029,0.013
-0.012,-0.008,0.052
-0.001,-0.019,0.034
-0.007,0.013,0.024
-0.030,0.038,0.040
-0.038,0.009,0.006
-0.007,-0.017,-0.008
0.023,-0.025,-0.012
0.019,-0.008,-0.070
0.018,-0.010,-0.123
0.039,-0.012,-0.087
0.040,-0.012,0.081
-0.036,-0.010,0.160
-0.083,0.029,-0.009
0.011,0.017,-0.134
0.060,0.011,-0.091
-0.022,0.003,-0.085
-0.002,-0.068,-0.026
0.046,-0.031,0.102
-0.034,-0.001,0.033
-0.026,-0.035,0.017
0.031,0.030,0.110
0.007,0.067,0.046
0.001,0.041,0.084
0.009,0.024,0.098
-0.015,0.000,-0.034
-0.064,-0.018,-0.037
-0.056,-0.020,0.009
-0.004,0.025,0.062
-0.007,0.057,0.038
-0.005,0.028,-0.029
0.036,0.024,-0.009
0.031,0.030,-0.008
0.009,-0.014,-0.010
0.045,-0.036,-0.036
0.047,-0.006,-0.086
0.008,-0.012,-0.093
-0.014,-0.026,-0.104
-0.009,-0.029,-0.065
0.017,-0.031,0.004
-0.001,-0.001,0.059
0.014,0.009,0.110
0.038,-0.003,0.062
0.009,-0.025,-0.042
-0.011,-0.055,-0.079
-0.051,-0.024,-0.073
-0.067,0.005,-0.034
-0.071,-0.001,0.000
-0.046,0.023,0.004
0.012,0.028,0.034
0.008,0.000,0.062
0.046,0.002,0.068
0.090,0.013,0.068
0.039,0.004,0.010
0.000,0.009,-0.057
-0.036,0.034,-0.074
-0.046,0.024,-0.067
-0.029,-0.010,0.030
0.000,-0.001,0.177
0.016,0.016,0.182
-0.034,-0.007,0.031
0.000,0.002,-0.074
