SITE CODE= 65034’·‰ªŽs’†”V“‡            ,37.4962,137.2705, 15.86,7.6,45292.6738723, 23.12, 39.73
 LAT.=   37.5478
 LON.=  138.8773
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 10 30
 NS,EW,UD
0.036,0.025,-0.519
0.059,0.026,-0.598
0.062,0.033,-0.698
0.064,0.030,-0.768
0.062,0.033,-0.762
0.052,0.046,-0.633
0.043,0.044,-0.369
0.027,0.046,-0.044
0.034,0.038,0.242
0.055,0.020,0.397
0.072,0.000,0.389
0.093,-0.031,0.261
0.102,-0.063,0.102
0.104,-0.081,0.028
0.102,-0.065,0.105
0.089,-0.022,0.314
0.083,0.006,0.581
0.093,0.009,0.830
0.113,-0.014,1.006
0.120,-0.053,1.033
0.106,-0.082,0.871
0.068,-0.081,0.538
0.016,-0.019,0.121
-0.031,0.073,-0.271
-0.069,0.156,-0.581
-0.090,0.216,-0.795
-0.088,0.236,-0.952
-0.072,0.232,-1.071
-0.062,0.200,-1.164
-0.063,0.148,-1.211
-0.079,0.087,-1.168
-0.115,0.046,-1.049
-0.153,0.055,-0.850
-0.199,0.094,-0.568
-0.241,0.136,-0.182
-0.250,0.147,0.292
-0.226,0.115,0.757
-0.174,0.041,1.122
-0.107,-0.029,1.316
-0.043,-0.069,1.348
0.009,-0.086,1.250
0.061,-0.093,1.045
0.100,-0.104,0.810
0.108,-0.095,0.603
0.102,-0.075,0.460
0.080,-0.067,0.384
0.057,-0.086,0.364
0.046,-0.129,0.371
0.042,-0.174,0.347
0.041,-0.221,0.232
0.035,-0.249,0.011
0.017,-0.237,-0.246
-0.002,-0.175,-0.453
-0.015,-0.096,-0.586
-0.018,-0.036,-0.634
0.004,0.000,-0.546
0.048,0.002,-0.314
0.100,-0.028,0.020
0.147,-0.093,0.370
0.163,-0.163,0.636
0.135,-0.172,0.765
0.073,-0.110,0.706
0.000,-0.021,0.450
-0.055,0.065,0.085
-0.080,0.147,-0.277
-0.087,0.208,-0.559
-0.077,0.224,-0.731
-0.057,0.196,-0.757
-0.051,0.156,-0.578
-0.051,0.118,-0.204
-0.063,0.081,0.249
-0.092,0.062,0.667
-0.131,0.090,0.970
-0.182,0.157,1.098
-0.224,0.218,1.065
-0.250,0.229,0.945
