SITE CODE= 47274éÏèFéséOçËí¨            ,37.4962,137.2705, 15.86,7.6,45292.6738723,  3.16,  5.38
 LAT.=   37.4504
 LON.=  137.3589
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 09 50
 NS,EW,UD
0.038,-0.006,-0.005
0.011,-0.023,-0.034
-0.018,-0.015,-0.023
-0.021,0.007,0.011
-0.004,0.017,0.021
0.014,0.004,-0.000
0.024,-0.019,-0.020
0.026,-0.035,-0.016
0.020,-0.035,-0.003
0.001,-0.020,0.001
-0.021,0.002,0.004
-0.027,0.017,0.013
-0.008,0.016,0.013
0.019,-0.002,-0.006
0.028,-0.022,-0.024
0.017,-0.028,-0.013
0.006,-0.018,0.014
0.001,-0.009,0.016
-0.005,-0.010,-0.011
-0.015,-0.017,-0.029
-0.018,-0.018,-0.009
-0.001,-0.007,0.022
0.027,0.007,0.024
0.040,0.010,-0.003
0.029,-0.002,-0.023
0.007,-0.018,-0.020
-0.006,-0.023,-0.012
-0.001,-0.019,-0.013
0.014,-0.015,-0.010
0.030,-0.016,0.007
0.033,-0.018,0.025
0.018,-0.021,0.022
-0.010,-0.025,0.003
-0.027,-0.030,-0.011
-0.018,-0.026,-0.008
0.012,-0.010,0.002
0.041,0.008,0.005
0.050,0.012,-0.000
0.036,0.001,-0.006
0.008,-0.011,-0.008
-0.021,-0.015,-0.009
-0.034,-0.009,-0.007
-0.022,-0.001,0.001
0.009,0.004,0.011
0.035,0.000,0.014
0.034,-0.011,0.004
0.013,-0.020,-0.011
-0.000,-0.013,-0.020
0.014,0.008,-0.017
0.045,0.019,-0.008
0.066,-0.002,0.003
0.055,-0.051,0.011
0.017,-0.095,0.010
-0.021,-0.095,-0.002
-0.029,-0.040,-0.013
-0.001,0.040,-0.009
0.030,0.087,0.006
0.033,0.065,0.008
0.009,-0.005,-0.015
-0.008,-0.065,-0.043
-0.000,-0.071,-0.047
0.016,-0.028,-0.021
0.016,0.022,0.012
0.010,0.042,0.024
0.024,0.019,0.012
0.049,-0.033,-0.005
0.049,-0.082,-0.011
0.013,-0.089,-0.007
-0.020,-0.043,-0.005
-0.009,0.028,-0.010
0.036,0.072,-0.013
0.064,0.066,-0.007
