SITE CODE= 47600—Ö“‡Žs–PŽŠ’¬            ,37.4962,137.2705, 15.86,7.6,45292.6738723,  6.59, 11.21
 LAT.=   37.3912
 LON.=  136.8952
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 10 00
 NS,EW,UD
-0.032,-0.016,0.008
-0.030,-0.015,0.012
-0.028,-0.012,0.012
-0.029,-0.009,0.009
-0.031,-0.007,0.005
-0.034,-0.005,0.005
-0.037,-0.003,0.008
-0.038,-0.002,0.011
-0.037,-0.002,0.010
-0.034,-0.002,0.005
-0.033,-0.004,0.000
-0.034,-0.005,-0.003
-0.037,-0.005,-0.002
-0.038,-0.004,0.000
-0.037,-0.002,0.000
-0.034,-0.002,-0.005
-0.030,-0.004,-0.013
-0.027,-0.009,-0.020
-0.022,-0.011,-0.021
-0.014,-0.011,-0.019
-0.007,-0.009,-0.017
0.001,-0.007,-0.018
0.006,-0.008,-0.022
0.011,-0.010,-0.025
0.015,-0.009,-0.027
0.021,-0.004,-0.027
0.026,0.002,-0.028
0.029,0.005,-0.028
0.029,0.006,-0.029
0.029,0.005,-0.029
0.030,0.005,-0.029
0.035,0.007,-0.027
0.042,0.012,-0.024
0.051,0.018,-0.020
0.059,0.022,-0.016
0.064,0.022,-0.017
0.067,0.020,-0.018
0.068,0.017,-0.019
0.071,0.018,-0.017
0.075,0.021,-0.014
0.077,0.026,-0.013
0.076,0.027,-0.013
0.071,0.024,-0.014
0.067,0.019,-0.014
0.065,0.016,-0.012
0.065,0.017,-0.009
0.065,0.020,-0.005
0.062,0.021,-0.006
0.057,0.021,-0.010
0.051,0.018,-0.014
0.048,0.016,-0.016
0.048,0.017,-0.016
0.050,0.022,-0.014
0.051,0.027,-0.013
0.051,0.031,-0.013
0.050,0.032,-0.015
0.050,0.030,-0.016
0.050,0.030,-0.014
0.048,0.032,-0.014
0.045,0.035,-0.014
0.040,0.037,-0.014
0.035,0.035,-0.015
0.027,0.030,-0.014
0.020,0.025,-0.012
0.014,0.021,-0.008
0.009,0.021,-0.005
0.005,0.021,-0.004
0.001,0.019,-0.005
-0.006,0.015,-0.008
-0.014,0.010,-0.011
-0.023,0.006,-0.011
-0.029,0.005,-0.010
-0.034,0.004,-0.007
-0.038,0.002,-0.005
-0.041,-0.002,-0.004
-0.045,-0.004,-0.004
-0.046,-0.003,-0.007
-0.046,-0.000,-0.010
-0.044,0.006,-0.011
-0.043,0.011,-0.009
-0.043,0.013,-0.007
-0.045,0.012,-0.007
-0.048,0.009,-0.010
-0.050,0.008,-0.014
-0.050,0.009,-0.018
-0.048,0.010,-0.020
-0.047,0.011,-0.019
-0.047,0.010,-0.018
-0.048,0.009,-0.018
-0.048,0.011,-0.016
-0.045,0.016,-0.013
-0.042,0.023,-0.011
-0.040,0.028,-0.010
-0.040,0.030,-0.013
-0.041,0.032,-0.015
-0.041,0.032,-0.015
-0.038,0.035,-0.011
-0.034,0.039,-0.004
-0.029,0.044,-0.001
-0.026,0.046,-0.003
-0.024,0.046,-0.005
-0.021,0.045,-0.007
-0.016,0.043,-0.006
-0.011,0.043,-0.006
-0.005,0.043,-0.009
-0.002,0.041,-0.013
-0.002,0.037,-0.015
-0.002,0.034,-0.013
0.000,0.034,-0.009
0.003,0.037,-0.007
0.007,0.039,-0.010
0.011,0.039,-0.015
0.014,0.037,-0.018
0.018,0.034,-0.018
0.023,0.032,-0.013
0.029,0.031,-0.007
0.037,0.029,-0.003
0.044,0.023,-0.004
0.049,0.014,-0.007
0.052,0.005,-0.012
0.055,-0.002,-0.014
0.061,-0.005,-0.014
0.067,-0.010,-0.013
0.072,-0.014,-0.013
0.077,-0.019,-0.012
0.079,-0.024,-0.010
0.079,-0.029,-0.005
0.079,-0.032,-0.002
0.079,-0.034,-0.001
0.078,-0.035,-0.001
0.076,-0.037,-0.002
0.073,-0.043,0.000
0.071,-0.050,0.003
0.069,-0.055,0.007
0.070,-0.057,0.010
0.071,-0.057,0.011
0.073,-0.056,0.009
0.071,-0.056,0.005
0.067,-0.056,0.002
0.059,-0.055,0.001
0.053,-0.054,0.003
0.048,-0.053,0.006
0.047,-0.055,0.008
0.045,-0.059,0.008
0.041,-0.065,0.006
0.036,-0.070,0.004
0.032,-0.071,0.005
0.030,-0.068,0.007
0.030,-0.064,0.009
0.029,-0.061,0.009
0.026,-0.062,0.006
0.021,-0.066,0.002
0.016,-0.068,0.002
0.014,-0.067,0.004
0.014,-0.062,0.005
0.015,-0.057,0.005
0.016,-0.054,0.002
0.015,-0.055,0.000
0.011,-0.057,-0.001
0.006,-0.059,0.000
0.003,-0.057,0.001
0.001,-0.053,0.002
-0.002,-0.048,0.004
-0.006,-0.043,0.005
-0.012,-0.036,0.005
-0.016,-0.030,0.007
-0.018,-0.024,0.008
-0.018,-0.018,0.011
-0.019,-0.014,0.013
-0.021,-0.009,0.014
-0.026,-0.004,0.013
-0.029,0.002,0.011
-0.031,0.009,0.009
-0.032,0.015,0.008
-0.032,0.018,0.008
-0.032,0.019,0.007
-0.030,0.018,0.008
-0.029,0.017,0.009
-0.026,0.019,0.011
-0.024,0.023,0.013
-0.021,0.026,0.015
-0.019,0.026,0.017
-0.016,0.025,0.016
-0.014,0.022,0.013
-0.013,0.020,0.011
-0.013,0.019,0.012
-0.011,0.020,0.017
-0.009,0.021,0.022
-0.007,0.020,0.024
-0.008,0.016,0.022
-0.009,0.009,0.019
-0.007,0.004,0.017
-0.004,0.001,0.016
0.002,0.002,0.014
0.006,0.004,0.012
0.007,0.004,0.010
0.008,0.001,0.009
0.010,-0.003,0.010
0.015,-0.006,0.011
0.022,-0.007,0.012
0.028,-0.009,0.009
0.032,-0.011,0.005
0.033,-0.015,0.001
0.033,-0.018,-0.001
0.032,-0.019,0.002
0.033,-0.016,0.006
0.034,-0.011,0.009
0.036,-0.006,0.010
0.036,-0.003,0.008
0.035,-0.002,0.007
0.032,-0.001,0.007
0.030,0.000,0.009
0.029,0.003,0.011
0.029,0.006,0.012
0.027,0.009,0.012
0.023,0.012,0.011
0.021,0.016,0.011
0.021,0.019,0.010
0.023,0.025,0.010
0.026,0.030,0.011
0.027,0.036,0.013
0.026,0.041,0.016
0.024,0.046,0.017
0.024,0.052,0.017
0.025,0.059,0.016
0.026,0.067,0.012
0.025,0.073,0.009
0.021,0.077,0.008
0.018,0.080,0.007
0.014,0.083,0.008
0.011,0.088,0.008
0.009,0.094,0.007
0.006,0.099,0.007
0.004,0.102,0.004
0.000,0.102,0.002
-0.004,0.101,-0.001
-0.007,0.100,-0.002
-0.010,0.101,0.002
-0.012,0.102,0.005
-0.012,0.100,0.008
-0.012,0.098,0.007
-0.014,0.095,0.005
-0.016,0.094,0.004
-0.017,0.094,0.004
-0.017,0.095,0.004
-0.017,0.095,0.004
-0.019,0.093,0.003
-0.021,0.089,0.005
-0.024,0.084,0.007
-0.025,0.082,0.008
-0.026,0.081,0.007
-0.029,0.081,0.004
-0.034,0.079,0.001
-0.040,0.077,0.000
-0.045,0.074,0.000
-0.047,0.075,0.000
-0.046,0.076,-0.003
-0.045,0.077,-0.006
-0.045,0.074,-0.009
-0.047,0.069,-0.012
-0.050,0.065,-0.014
-0.051,0.062,-0.013
-0.050,0.061,-0.012
-0.046,0.061,-0.009
-0.042,0.059,-0.007
-0.039,0.055,-0.009
-0.039,0.051,-0.011
-0.041,0.048,-0.011
-0.043,0.045,-0.009
-0.043,0.040,-0.005
-0.041,0.036,-0.002
-0.037,0.031,-0.002
-0.036,0.025,-0.003
-0.034,0.020,-0.004
-0.032,0.014,-0.004
-0.029,0.011,-0.002
-0.026,0.009,0.001
-0.022,0.006,0.001
-0.020,0.002,-0.001
-0.017,-0.002,-0.003
-0.014,-0.005,-0.003
-0.012,-0.004,-0.001
-0.007,-0.002,0.001
-0.002,-0.002,0.000
0.001,-0.005,-0.002
0.003,-0.012,-0.003
0.002,-0.021,-0.002
0.001,-0.029,0.001
0.001,-0.034,0.005
0.002,-0.038,0.006
0.002,-0.041,0.004
0.002,-0.046,-0.001
-0.000,-0.051,-0.004
-0.004,-0.054,-0.005
-0.007,-0.054,-0.004
-0.008,-0.051,-0.004
-0.007,-0.047,-0.005
-0.007,-0.046,-0.007
-0.009,-0.048,-0.009
-0.012,-0.050,-0.010
-0.015,-0.050,-0.009
-0.017,-0.047,-0.007
-0.017,-0.046,-0.008
-0.017,-0.048,-0.012
-0.018,-0.051,-0.016
-0.018,-0.054,-0.021
-0.016,-0.054,-0.024
-0.014,-0.051,-0.024
-0.013,-0.049,-0.023
-0.012,-0.048,-0.022
-0.014,-0.050,-0.022
-0.017,-0.052,-0.023
-0.018,-0.051,-0.023
-0.018,-0.048,-0.022
-0.016,-0.042,-0.021
-0.013,-0.037,-0.018
-0.012,-0.032,-0.015
-0.012,-0.029,-0.012
-0.013,-0.025,-0.009
-0.014,-0.021,-0.008
-0.016,-0.017,-0.008
-0.015,-0.013,-0.007
-0.015,-0.012,-0.005
-0.017,-0.014,-0.004
-0.022,-0.019,-0.002
-0.029,-0.023,0.001
-0.036,-0.025,0.003
-0.041,-0.025,0.004
-0.045,-0.025,0.005
-0.046,-0.029,0.005
-0.048,-0.034,0.007
-0.047,-0.039,0.008
-0.045,-0.043,0.008
-0.043,-0.044,0.008
-0.040,-0.045,0.008
-0.037,-0.046,0.009
-0.035,-0.047,0.009
-0.032,-0.049,0.008
-0.029,-0.050,0.007
-0.026,-0.047,0.005
-0.023,-0.044,0.005
-0.020,-0.041,0.005
-0.018,-0.041,0.005
-0.016,-0.043,0.004
-0.015,-0.043,0.001
-0.013,-0.041,0.000
-0.011,-0.037,0.000
-0.009,-0.035,0.002
-0.009,-0.035,0.005
-0.009,-0.036,0.006
-0.010,-0.039,0.005
-0.011,-0.039,0.004
-0.010,-0.037,0.003
-0.006,-0.035,0.003
-0.002,-0.033,0.003
0.001,-0.033,0.002
0.003,-0.035,0.001
0.004,-0.038,0.001
0.007,-0.041,0.002
